"obec1","stat1","obec2","stat2","rok"
"Jívka","Česká republika","Jelcz Laskowice","Polsko",2000
"Lánov","Česká republika","Karpacz","Polsko",2004
"Lánov","Česká republika","Szklarska Poreba","Polsko",2004
"Úpice","Česká republika","Oberbip","Švýcarsko",0
"Úpice","Česká republika","Piechwice","Polsko",0
"Vrchlabí","Česká republika","Baunatal","Německo",1991
"Vrchlabí","Česká republika","Kowary","Polsko",2006
"Vrchlabí","Česká republika","Trouville sur Mer","Francie",1993
"Chrudim","Česká republika","Ede","Nizozemsko",1993
"Chrudim","Česká republika","Olešnica","Polsko",1998
"Chrudim","Česká republika","Svidník","Slovensko",1998
"Nasavrky","Česká republika","Nová Lesná","Slovensko",2003
"Dříteč","Česká republika","Zlatá Baňa","Slovensko",2009
"Holice","Česká republika","Medzev","Slovensko",1999
"Holice","Česká republika","Strzelce Opolskie","Polsko",2006
"Pardubice","Česká republika","Doetinchem","Nizozemsko",1992
"Pardubice","Česká republika","Merano","Itálie",2001
"Pardubice","Česká republika","Rosignano Marittiomo","Itálie",1965
"Pardubice","Česká republika","Selb","Německo",1991
"Pardubice","Česká republika","Schönebeck","Německo",1993
"Pardubice","Česká republika","Skelleftea","Švédsko",1968
"Svitavy","Česká republika","Plochingen","Německo",1991
"Svitavy","Česká republika","Stendal","Německo",1999
"Svitavy","Česká republika","Villecresnes","Francie",2009
"Svitavy","Česká republika","Žiar nad Hronom","Slovensko",1975
"Svitavy","Česká republika","Žiar nad Hronom","Slovensko",2006
"Bystré","Česká republika","Kilingi Nömme","Estonsko",1999
"Bystré","Česká republika","Kirchheim im Innkreis","Rakousko",2000
"Bystré","Česká republika","Palkonya","Maďarsko",1999
"Bystré","Česká republika","Paxos","Řecko",1999
"Bystré","Česká republika","Pergine Valdarno","Itálie",1999
"Bystré","Česká republika","Porrua","Španělsko",1999
"Bystré","Česká republika","Schachdorf Ströbeck - Halberstadt","Německo",1999
"Bystré","Česká republika","Tommerup","Dánsko",1999
"Bystré","Česká republika","Wijk aan Zee","Nizozemsko",1999
