S-544281;48.898602250089;14.6422556758036;Borovany;Česká republika;F-3065;46.8141;7.51152;Muhleturnen;Švýcarsko;1995
S-544663;48.8975332744737;14.4463714805158;Kamenný Újezd;Česká republika;F-3202;47.0095;7.56666;Krauchthal;Švýcarsko;1992
S-544868;48.7896300759105;14.7783707621883;Nové Hrady;Česká republika;F-2636;50.148862;2.906806;Vaulx-Vraucourt;Francie;2008
S-544868;48.7896300759105;14.7783707621883;Nové Hrady;Česká republika;F-2635;48.70073;14.89717;Weitra;Rakousko;1991
S-549371;49.3058727468711;14.3838140084454;Dražíč;Česká republika;F-3134;48.637315;12.927712;Eichendorf - Reichstorf;Německo;1999
S-545392;48.8109098422009;14.3151970638619;Český Krumlov;Česká republika;F-2284;48.652865;13.6255062;Hauzenberg;Německo;1991
S-545392;48.8109098422009;14.3151970638619;Český Krumlov;Česká republika;F-2283;49.0441667;24.3597222;Kaluš;Ukrajina;1993
S-545392;48.8109098422009;14.3151970638619;Český Krumlov;Česká republika;F-2281;25.790654;-80.1300455;Miami Beach;Spojené státy americké;2001
S-545392;48.8109098422009;14.3151970638619;Český Krumlov;Česká republika;F-2280;43.4703333;11.0437592;San Gimignano;Itálie;2008
S-545392;48.8109098422009;14.3151970638619;Český Krumlov;Česká republika;F-2279;46.5111299;15.0803219;Slovenj Gradec;Slovinsko;1997
S-545392;48.8109098422009;14.3151970638619;Český Krumlov;Česká republika;F-2278;48.00334;13.65613;Vöcklabruck;Rakousko;1997
S-545848;48.6159788078523;14.3118113342599;Vyšší Brod;Česká republika;F-3003;48.52272;14.29255;Bad Leonfelden;Rakousko;2005
S-545848;48.6159788078523;14.3118113342599;Vyšší Brod;Česká republika;F-3002;48.50217;14.50201;Freistadt;Rakousko;2005
S-513661;48.9483160027703;14.2471522244387;Nová Ves;Česká republika;F-3324;46.9707;7.23845;Wileroltigen;Švýcarsko;1998
S-545881;49.1440466130074;15.002997825194;Jindřichův Hradec;Česká republika;F-2462;49.3866401;8.802281;Neckargemünd;Německo;1996
S-545881;49.1440466130074;15.002997825194;Jindřichův Hradec;Česká republika;F-2461;48.6058022;15.1662133;Zwettl;Rakousko;2006
S-546127;49.0815425433542;15.4372586832452;Dačice;Česká republika;F-2290;48.79184;15.40474;Gross-Siegharts;Rakousko;1990
S-546461;48.9623475034984;14.9279777099007;Chlum u Třeboně;Česká republika;F-3181;48.94416;15.04408;Litschau;Rakousko;2006
S-546798;49.0192591281992;15.1031463752654;Nová Bystřice;Česká republika;F-2633;48.86571;15.12025;Heidenreichstein;Rakousko;2002
S-546844;49.0810011353429;14.8221480389056;Novosedly nad Nežárkou;Česká republika;F-3230;48.2434845;15.2844345;Leiben;Rakousko;2005
S-546844;49.0810011353429;14.8221480389056;Novosedly nad Nežárkou;Česká republika;F-3328;46.9420166;7.8770527;Trub;Švýcarsko;1994
S-547069;48.8792116317271;14.9329003785503;Rapšach;Česká republika;F-2858;48.86492;15.0122;Brand-Nagelberg;Rakousko;2007
S-547166;48.997532490826;15.351528865771;Slavonice;Česká republika;F-2836;48.91517;15.32198;Dobersberg;Rakousko;1996
S-547166;48.997532490826;15.351528865771;Slavonice;Česká republika;F-2835;49.0018008;22.2291071;Stakčín;Slovensko;2001
S-547280;48.8933322938696;14.8769439327942;Suchdol nad Lužnicí;Česká republika;F-2858;48.86492;15.0122;Brand-Nagelberg;Rakousko;0
S-547336;49.0036401102344;14.7706379268057;Třeboň;Česká republika;F-2919;55.8604812;9.84069;Horsens;Dánsko;0
S-547336;49.0036401102344;14.7706379268057;Třeboň;Česká republika;F-2918;46.6859853;7.8673189;Interlaken;Švýcarsko;1994
S-547336;49.0036401102344;14.7706379268057;Třeboň;Česká republika;F-2917;48.79368;15.06616;Schrems;Rakousko;1991
S-547336;49.0036401102344;14.7706379268057;Třeboň;Česká republika;F-2916;55.4982318;25.5967063;Utena;Litva;1994
S-549517;49.5176033508916;14.2780912259871;Kovářov;Česká republika;F-3230;48.2434845;15.2844345;Leiben;Rakousko;2005
S-549517;49.5176033508916;14.2780912259871;Kovářov;Česká republika;F-3229;46.7879;7.53851;Seftigen;Švýcarsko;1992
S-549576;49.4508961007705;14.360000600561;Milevsko;Česká republika;F-2597;47.966038;-1.796747;Guichen;Francie;1994
S-549576;49.4508961007705;14.360000600561;Milevsko;Česká republika;F-2596;47.0214931;7.4468409;Münchenbuchsee;Švýcarsko;1991
S-549576;49.4508961007705;14.360000600561;Milevsko;Česká republika;F-2595;48.43552;14.78529;Unterweissenbach;Rakousko;2006
S-549584;49.4290827474014;14.0369721677665;Mirotice;Česká republika;F-2605;46.9554;7.33709;Frauenkappelen;Švýcarsko;1992
S-549240;49.308799940052;14.1474994256268;Písek;Česká republika;F-2731;51.578829;-3.218134;Caerphilly;Velká Británie;1994
S-549240;49.308799940052;14.1474994256268;Písek;Česká republika;F-2730;48.8408515;12.9574787;Deggendorf;Německo;2008
S-549240;49.308799940052;14.1474994256268;Písek;Česká republika;F-2729;56.54694;8.30277;Lemvig;Dánsko;2005
S-549240;49.308799940052;14.1474994256268;Písek;Česká republika;F-2728;50.5589802;8.5081646;Wetzlar;Německo;2006
S-550094;49.0129275846733;13.9975188581681;Prachatice;Česká republika;F-2764;44.172161;11.9478983;Castrocaro terme e Terra del Sole;Itálie;2004
S-550094;49.0129275846733;13.9975188581681;Prachatice;Česká republika;F-2763;48.7975902;13.6535125;Grainet;Německo;1996
S-550094;49.0129275846733;13.9975188581681;Prachatice;Česká republika;F-2762;55.342796;26.1647776;Ignalina;Litva;1998
S-550094;49.0129275846733;13.9975188581681;Prachatice;Česká republika;F-2761;43.685975;11.254211;Impruneta;Itálie;1988
S-550094;49.0129275846733;13.9975188581681;Prachatice;Česká republika;F-2760;48.24126;14.51419;Mauthausen;Rakousko;1991
S-550094;49.0129275846733;13.9975188581681;Prachatice;Česká republika;F-2759;53.1;30.05;Rogachev;Bělorusko;1999
S-550094;49.0129275846733;13.9975188581681;Prachatice;Česká republika;F-2758;48.72837;13.60219;Waldkirchen;Německo;1996
S-550094;49.0129275846733;13.9975188581681;Prachatice;Česká republika;F-2757;48.5758623;19.1256291;Zvolen;Slovensko;1991
S-550361;48.9947952122307;14.1497973976555;Lhenice;Česká republika;F-3245;46.9645999;7.2149999;Gurbrü;Švýcarsko;1993
S-550361;48.9947952122307;14.1497973976555;Lhenice;Česká republika;F-3179;48.8443817;13.1376652;Správní společenství Lalling;Německo;2011
S-550426;48.9835387584457;14.1250599566467;Mičovice;Česká republika;F-3179;48.8443817;13.1376652;Správní společenství Lalling;Německo;2008
S-550515;49.1017955111964;13.6665909636939;Stachy;Česká republika;F-3420;48.6542593;13.4113313;Ruderting;Německo;1995
S-550647;49.0524364165038;13.774260596515;Vimperk;Česká republika;F-2970;48.8081367;13.5484264;Freyung;Německo;2003
S-551384;49.1264088385027;13.8828274733837;Malenice;Česká republika;F-3273;49.3991744;11.6451327;Aicha;Německo;2004
S-551660;49.3163473484329;13.9302392619937;Radomyšl;Česká republika;F-3382;44.5176763;9.0473203;Montoggio;Itálie;2005
S-551953;49.147895458966;14.1751243115681;Vodňany;Česká republika;F-2980;47.501673;18.0269161;Kisbér;Maďarsko;2010
S-551953;49.147895458966;14.1751243115681;Vodňany;Česká republika;F-2979;49.2611579;19.35789;Oravský Podzámok;Slovensko;2002
S-551953;49.147895458966;14.1751243115681;Vodňany;Česká republika;F-2978;52.65088;16.07973;Sieraków nad Warta;Polsko;2000
S-551953;49.147895458966;14.1751243115681;Vodňany;Česká republika;F-2977;48.34642;14.50994;Wartberg ob der Aist;Rakousko;2001
S-551970;49.1657827917382;13.8862365492934;Volyně;Česká republika;F-2982;48.5690117;13.086888;Aidenbach;Německo;1992
S-536962;49.1552267890247;13.8973497334119;Nišovice;Česká republika;F-3318;46.71665;7.92819;Niedrried;Švýcarsko;1992
S-550787;49.2614110267809;13.9023713392994;Strakonice;Česká republika;F-2845;50.8083578;10.2348249;Bad Salzungen;Německo;1977
S-550787;49.2614110267809;13.9023713392994;Strakonice;Česká republika;F-2844;53.716157;-1.85846;Calderdale;Velká Británie;1992
S-550787;49.2614110267809;13.9023713392994;Strakonice;Česká republika;F-2843;47.1806632;7.3689051;Lengnau;Švýcarsko;1994
S-550850;49.4248899982033;13.8817597475584;Blatná;Česká republika;F-2202;47.239232;7.8222057;Roggwil;Švýcarsko;1992
S-550850;49.4248899982033;13.8817597475584;Blatná;Česká republika;F-2201;48.0322109;0.240253;Sarge-Les-Le Mans;Francie;1993
S-550850;49.4248899982033;13.8817597475584;Blatná;Česká republika;F-2200;50.8242287;10.0230737;Vacha;Německo;0
